exchange_id,exchange_name,symbol,base,target,funding_rate,open_interest_usd,h24_volume,last,trade_url
binance_futures,Binance (Futures),ARBUSDT,ARB,USDT,-0.004,80338704.38349973,632189217.5,0.48,https://www.binance.com/en/futures/ARBUSDT
binance_futures,Binance (Futures),ARCUSDT,ARC,USDT,0.005,3894292.0165529097,277467885.0,0.018,https://www.binance.com/en/futures/ARCUSDT
binance_futures,Binance (Futures),ARKUSDT,ARK,USDT,0.005,3112304.75916912,8042863.0,0.42,https://www.binance.com/en/futures/ARKUSDT
binance_futures,Binance (Futures),ARKMUSDT,ARKM,USDT,0.004,10813479.6701666,41285963.0,0.49,https://www.binance.com/en/futures/ARKMUSDT
binance_futures,Binance (Futures),ARPAUSDT,ARPA,USDT,-0.018,1994626.15532701,184703568.0,0.022,https://www.binance.com/en/futures/ARPAUSDT
binance_futures,Binance (Futures),ASRUSDT,ASR,USDT,-0.109,9163809.543116905,44691954.8,3.195,https://www.binance.com/en/futures/ASRUSDT
binance_futures,Binance (Futures),ASTRUSDT,ASTR,USDT,-0.002,3092287.761135929,276144587.0,0.024,https://www.binance.com/en/futures/ASTRUSDT
binance_futures,Binance (Futures),ATAUSDT,ATA,USDT,-0.001,2833002.20498022,84937711.0,0.046,https://www.binance.com/en/futures/ATAUSDT
binance_futures,Binance (Futures),ATHUSDT,ATH,USDT,0.005,19712023.64646226,84403465.0,0.032,https://www.binance.com/en/futures/ATHUSDT
binance_futures,Binance (Futures),ATOMUSD_PERP,ATOM,USD,0.005,1558582.95,945063.95182651,4.325,https://www.binance.com/en/futures/ATOMUSD_PERP
binance_futures,Binance (Futures),ATOMUSDT,ATOM,USDT,-0.016,31835950.3463377,10988275.42,4.338,https://www.binance.com/en/futures/ATOMUSDT
binance_futures,Binance (Futures),AUCTIONUSDT,AUCTION,USDT,-0.003,5569077.199639209,510165.44,9.332,https://www.binance.com/en/futures/AUCTIONUSDT
binance_futures,Binance (Futures),AVAUSDT,AVA,USDT,0.005,2676831.4266615203,3492559.2,0.543,https://www.binance.com/en/futures/AVAUSDT
binance_futures,Binance (Futures),AVAAIUSDT,AVAAI,USDT,0.005,3579755.68753,193863445.0,0.026,https://www.binance.com/en/futures/AVAAIUSDT
binance_futures,Binance (Futures),AVAXUSD_PERP,AVAX,USD,0.01,22592645.459999997,396486.83119816,22.33,https://www.binance.com/en/futures/AVAXUSD_PERP
binance_futures,Binance (Futures),AVAXUSDC,AVAX,USDC,0.007,5174748.384684741,961579.82,22.381,https://www.binance.com/en/futures/AVAXUSDC
binance_futures,Binance (Futures),AVAXUSDT,AVAX,USDT,0.007,155279133.5982559,17544302.0,22.334,https://www.binance.com/en/futures/AVAXUSDT
binance_futures,Binance (Futures),AWEUSDT,AWE,USDT,-0.029,1522382.66045029,47396218.0,0.049,https://www.binance.com/en/futures/AWEUSDT
binance_futures,Binance (Futures),AXLUSDT,AXL,USDT,0.004,5717280.17150331,22173228.0,0.298,https://www.binance.com/en/futures/AXLUSDT
binance_futures,Binance (Futures),AXSUSD_PERP,AXS,USD,0.01,186454.41,809284.3887854,2.19,https://www.binance.com/en/futures/AXSUSD_PERP
binance_futures,Binance (Futures),AXSUSDT,AXS,USDT,0.005,8414560.14929688,5809562.0,2.186,https://www.binance.com/en/futures/AXSUSDT
binance_futures,Binance (Futures),BUSDT,B,USDT,0.005,52033934.61623,108673886.0,0.559,https://www.binance.com/en/futures/BUSDT
binance_futures,Binance (Futures),B2USDT,B2,USDT,0.005,1833142.2998644,3672577.0,0.35,https://www.binance.com/en/futures/B2USDT
binance_futures,Binance (Futures),B3USDT,B3,USDT,0.005,2317378.67404128,433070861.0,0.003,https://www.binance.com/en/futures/B3USDT
binance_futures,Binance (Futures),BABYUSDT,BABY,USDT,0.005,5756736.62180133,156756202.0,0.049,https://www.binance.com/en/futures/BABYUSDT
binance_futures,Binance (Futures),BAKEUSDT,BAKE,USDT,-0.031,3135040.58290604,68493396.0,0.078,https://www.binance.com/en/futures/BAKEUSDT
binance_futures,Binance (Futures),BANUSDT,BAN,USDT,0.011,9932988.09005747,281146366.0,0.085,https://www.binance.com/en/futures/BANUSDT
binance_futures,Binance (Futures),BANANAUSDT,BANANA,USDT,-0.007,3223988.202686384,237835.8,21.27,https://www.binance.com/en/futures/BANANAUSDT
binance_futures,Binance (Futures),BANANAS31USDT,BANANAS31,USDT,0.005,10759415.344108181,1649541910.0,0.007,https://www.binance.com/en/futures/BANANAS31USDT
binance_futures,Binance (Futures),BANDUSDT,BAND,USDT,-0.058,5549072.171622568,54565757.6,0.85,https://www.binance.com/en/futures/BANDUSDT
binance_futures,Binance (Futures),BANKUSDT,BANK,USDT,0.005,2696739.69643848,57177583.0,0.057,https://www.binance.com/en/futures/BANKUSDT
binance_futures,Binance (Futures),BATUSDT,BAT,USDT,-0.018,3328291.862905536,24756659.7,0.144,https://www.binance.com/en/futures/BATUSDT
binance_futures,Binance (Futures),BBUSDT,BB,USDT,-0.032,8929140.27012135,826089556.0,0.138,https://www.binance.com/en/futures/BBUSDT
binance_futures,Binance (Futures),BCHUSD_PERP,BCH,USD,0.01,7340910.0,7181.68657012,554.61,https://www.binance.com/en/futures/BCHUSD_PERP
binance_futures,Binance (Futures),BCHUSDC,BCH,USDC,0.01,3770227.329842347,11748.58,555.06,https://www.binance.com/en/futures/BCHUSDC
binance_futures,Binance (Futures),BCHUSDT,BCH,USDT,0.007,230184936.8624757,205683.713,555.96,https://www.binance.com/en/futures/BCHUSDT
binance_futures,Binance (Futures),BDXNUSDT,BDXN,USDT,0.005,2090019.77337391,57798424.0,0.04,https://www.binance.com/en/futures/BDXNUSDT
binance_futures,Binance (Futures),BEAMXUSDT,BEAMX,USDT,0.003,4433759.94305928,689221194.0,0.007,https://www.binance.com/en/futures/BEAMXUSDT
binance_futures,Binance (Futures),BELUSDT,BEL,USDT,0.01,2951828.91608355,14697803.0,0.241,https://www.binance.com/en/futures/BELUSDT
binance_futures,Binance (Futures),BERAUSDT,BERA,USDT,-0.022,23183665.318795044,15317418.5,2.132,https://www.binance.com/en/futures/BERAUSDT
binance_futures,Binance (Futures),BICOUSDT,BICO,USDT,0.01,1895751.530533769,21792678.0,0.101,https://www.binance.com/en/futures/BICOUSDT
binance_futures,Binance (Futures),BIDUSDT,BID,USDT,0.005,1414567.7417040002,57914203.0,0.07,https://www.binance.com/en/futures/BIDUSDT
binance_futures,Binance (Futures),BIGTIMEUSDT,BIGTIME,USDT,0.005,3814759.41541135,77425951.0,0.052,https://www.binance.com/en/futures/BIGTIMEUSDT
binance_futures,Binance (Futures),BIOUSDT,BIO,USDT,-0.049,69255681.10785781,7507117762.0,0.202,https://www.binance.com/en/futures/BIOUSDT
binance_futures,Binance (Futures),BLURUSDT,BLUR,USDT,-0.009,4932479.7484534,95593137.0,0.074,https://www.binance.com/en/futures/BLURUSDT
binance_futures,Binance (Futures),BMTUSDT,BMT,USDT,0.001,2832994.1063158396,34727482.0,0.068,https://www.binance.com/en/futures/BMTUSDT
binance_futures,Binance (Futures),BNBUSD_PERP,BNB,USD,0.008,88534710.0,98948.00298527,847.22,https://www.binance.com/en/futures/BNBUSD_PERP
binance_futures,Binance (Futures),BNBUSDC,BNB,USDC,0.006,40678052.33607654,126318.19,847.97,https://www.binance.com/en/futures/BNBUSDC
binance_futures,Binance (Futures),BNBUSDT,BNB,USDT,0.0,575183999.4656959,816788.75,847.66,https://www.binance.com/en/futures/BNBUSDT
binance_futures,Binance (Futures),BNTUSDT,BNT,USDT,-0.022,1819519.11966706,1990490.0,0.754,https://www.binance.com/en/futures/BNTUSDT
binance_futures,Binance (Futures),BOMEUSDC,BOME,USDC,0.005,761631.15884814,1783227193.0,0.002,https://www.binance.com/en/futures/BOMEUSDC
binance_futures,Binance (Futures),BOMEUSDT,BOME,USDT,0.005,9146661.79148348,14099353148.0,0.002,https://www.binance.com/en/futures/BOMEUSDT
binance_futures,Binance (Futures),BRUSDT,BR,USDT,-0.044,2385906.48852375,34453035.0,0.05,https://www.binance.com/en/futures/BRUSDT
binance_futures,Binance (Futures),BRETTUSDT,BRETT,USDT,0.005,5563049.73582858,217813722.0,0.048,https://www.binance.com/en/futures/BRETTUSDT
binance_futures,Binance (Futures),BROCCOLI714USDT,BROCCOLI714,USDT,0.005,2707808.28422616,93849973.0,0.024,https://www.binance.com/en/futures/BROCCOLI714USDT
binance_futures,Binance (Futures),BROCCOLIF3BUSDT,BROCCOLIF3B,USDT,0.09,4023644.28699361,338411696.0,0.011,https://www.binance.com/en/futures/BROCCOLIF3BUSDT
binance_futures,Binance (Futures),BSVUSDT,BSV,USDT,-0.022,2297196.227019337,87126.3,25.22,https://www.binance.com/en/futures/BSVUSDT
binance_futures,Binance (Futures),BSWUSDT,BSW,USDT,0.149,3956755.17734895,190329622.0,0.027,https://www.binance.com/en/futures/BSWUSDT
binance_futures,Binance (Futures),BTCUSD_PERP,BTC,USD,0.01,3025617500.0,14110.54371586,112032.7,https://www.binance.com/en/futures/BTCUSD_PERP
binance_futures,Binance (Futures),BTCUSDC,BTC,USDC,0.01,906067026.8577275,25135.948,112145.1,https://www.binance.com/en/futures/BTCUSDC
binance_futures,Binance (Futures),BTCUSDT,BTC,USDT,0.01,9971733277.788412,115655.477,112214.1,https://www.binance.com/en/futures/BTCUSDT
binance_futures,Binance (Futures),BTCDOMUSDT,BTCDOM,USDT,0.02,25257811.17672563,3810.319,4068.2,https://www.binance.com/en/futures/BTCDOMUSDT
binance_futures,Binance (Futures),BULLAUSDT,BULLA,USDT,0.005,2419842.1109810397,39183562.0,0.07,https://www.binance.com/en/futures/BULLAUSDT
binance_futures,Binance (Futures),CUSDT,C,USDT,-0.013,5731216.5074521005,114220223.0,0.196,https://www.binance.com/en/futures/CUSDT
binance_futures,Binance (Futures),C98USDT,C98,USDT,0.001,3103089.28990302,100851687.0,0.049,https://www.binance.com/en/futures/C98USDT
binance_futures,Binance (Futures),CAKEUSDT,CAKE,USDT,-0.014,15578591.77905919,7208721.0,2.555,https://www.binance.com/en/futures/CAKEUSDT
binance_futures,Binance (Futures),CARVUSDT,CARV,USDT,0.005,4021038.5061227996,13810702.0,0.307,https://www.binance.com/en/futures/CARVUSDT
binance_futures,Binance (Futures),CATIUSDT,CATI,USDT,-0.045,2019614.8228074,31780936.0,0.085,https://www.binance.com/en/futures/CATIUSDT
binance_futures,Binance (Futures),CELOUSDT,CELO,USDT,0.01,5383566.430533252,97062622.6,0.305,https://www.binance.com/en/futures/CELOUSDT
binance_futures,Binance (Futures),CELRUSDT,CELR,USDT,0.008,2472125.03892074,532818380.0,0.008,https://www.binance.com/en/futures/CELRUSDT
binance_futures,Binance (Futures),CETUSUSDT,CETUS,USDT,-0.012,3918786.9144875198,56372769.0,0.091,https://www.binance.com/en/futures/CETUSUSDT
binance_futures,Binance (Futures),CFXUSDT,CFX,USDT,0.001,30614076.08766601,382474405.0,0.173,https://www.binance.com/en/futures/CFXUSDT
binance_futures,Binance (Futures),CGPTUSDT,CGPT,USDT,0.005,2090879.23191832,31037370.0,0.087,https://www.binance.com/en/futures/CGPTUSDT
binance_futures,Binance (Futures),CHESSUSDT,CHESS,USDT,0.005,2863459.894265,33716365.0,0.069,https://www.binance.com/en/futures/CHESSUSDT
binance_futures,Binance (Futures),CHILLGUYUSDT,CHILLGUY,USDT,0.005,4599910.6199712,293273673.0,0.044,https://www.binance.com/en/futures/CHILLGUYUSDT
binance_futures,Binance (Futures),CHRUSDT,CHR,USDT,0.004,3002992.31149653,64933506.0,0.094,https://www.binance.com/en/futures/CHRUSDT
binance_futures,Binance (Futures),CHZUSD_PERP,CHZ,USD,0.01,2642.8262,7072100.31188115,0.039,https://www.binance.com/en/futures/CHZUSD_PERP
binance_futures,Binance (Futures),CHZUSDT,CHZ,USDT,-0.022,6824537.906875,273974160.0,0.038,https://www.binance.com/en/futures/CHZUSDT
binance_futures,Binance (Futures),CKBUSDT,CKB,USDT,0.005,4348305.918929569,925900880.0,0.005,https://www.binance.com/en/futures/CKBUSDT
binance_futures,Binance (Futures),COMPUSDT,COMP,USDT,-0.005,23602117.10774707,339591.648,43.9,https://www.binance.com/en/futures/COMPUSDT
binance_futures,Binance (Futures),COOKIEUSDT,COOKIE,USDT,0.005,5402929.55321797,64977763.0,0.126,https://www.binance.com/en/futures/COOKIEUSDT
binance_futures,Binance (Futures),COSUSDT,COS,USDT,0.004,1577469.6033892,664390147.0,0.003,https://www.binance.com/en/futures/COSUSDT
binance_futures,Binance (Futures),COTIUSDT,COTI,USDT,-0.001,4325388.60786435,67264027.0,0.051,https://www.binance.com/en/futures/COTIUSDT
binance_futures,Binance (Futures),COWUSDT,COW,USDT,0.005,4602892.65694996,16931384.0,0.347,https://www.binance.com/en/futures/COWUSDT
binance_futures,Binance (Futures),CROSSUSDT,CROSS,USDT,0.005,3901196.0537566403,24221458.0,0.226,https://www.binance.com/en/futures/CROSSUSDT
binance_futures,Binance (Futures),CRVUSDC,CRV,USDC,0.01,3695286.65665225,33963046.4,0.832,https://www.binance.com/en/futures/CRVUSDC
binance_futures,Binance (Futures),CRVUSDT,CRV,USDT,0.01,58818966.0055961,126957921.5,0.832,https://www.binance.com/en/futures/CRVUSDT
binance_futures,Binance (Futures),CTKUSDT,CTK,USDT,0.003,1639872.123714499,3389932.0,0.307,https://www.binance.com/en/futures/CTKUSDT
binance_futures,Binance (Futures),CTSIUSDT,CTSI,USDT,0.01,6909100.05899556,234130826.0,0.08,https://www.binance.com/en/futures/CTSIUSDT
binance_futures,Binance (Futures),CUDISUSDT,CUDIS,USDT,-0.023,3833832.83956398,1339677475.0,0.106,https://www.binance.com/en/futures/CUDISUSDT
binance_futures,Binance (Futures),CVCUSDT,CVC,USDT,0.005,1344327.96422808,12431735.0,0.088,https://www.binance.com/en/futures/CVCUSDT
binance_futures,Binance (Futures),CVXUSDT,CVX,USDT,0.005,2475342.432267958,1217014.8,3.832,https://www.binance.com/en/futures/CVXUSDT
binance_futures,Binance (Futures),CYBERUSDT,CYBER,USDT,-0.106,9425139.962344084,21222442.8,2.168,https://www.binance.com/en/futures/CYBERUSDT
binance_futures,Binance (Futures),DUSDT,D,USDT,0.005,1444929.07500458,40104275.0,0.031,https://www.binance.com/en/futures/DUSDT
binance_futures,Binance (Futures),DAMUSDT,DAM,USDT,0.016,4458175.0846406,714087544.0,0.064,https://www.binance.com/en/futures/DAMUSDT
binance_futures,Binance (Futures),DASHUSDT,DASH,USDT,0.004,6136108.378103021,196317.913,21.33,https://www.binance.com/en/futures/DASHUSDT
binance_futures,Binance (Futures),DEEPUSDT,DEEP,USDT,0.005,2636065.5929399603,30094029.0,0.142,https://www.binance.com/en/futures/DEEPUSDT
binance_futures,Binance (Futures),DEFIUSDT,DEFI,USDT,0.0,811073.7795372033,5501.431,932.5,https://www.binance.com/en/futures/DEFIUSDT
binance_futures,Binance (Futures),DEGENUSDT,DEGEN,USDT,0.005,1889978.4647269498,551205440.0,0.003,https://www.binance.com/en/futures/DEGENUSDT
binance_futures,Binance (Futures),DEGOUSDT,DEGO,USDT,0.005,13142093.795187786,2676297.0,1.275,https://www.binance.com/en/futures/DEGOUSDT
binance_futures,Binance (Futures),DENTUSDT,DENT,USDT,-0.013,3724516.98101315,5653873255.0,0.001,https://www.binance.com/en/futures/DENTUSDT
binance_futures,Binance (Futures),DEXEUSDT,DEXE,USDT,0.005,7522898.404328138,239574.56,7.001,https://www.binance.com/en/futures/DEXEUSDT
binance_futures,Binance (Futures),DFUSDT,DF,USDT,0.005,2066755.244436,55530767.0,0.028,https://www.binance.com/en/futures/DFUSDT
binance_futures,Binance (Futures),DIAUSDT,DIA,USDT,0.005,2667512.27086278,8924211.0,0.656,https://www.binance.com/en/futures/DIAUSDT
binance_futures,Binance (Futures),DMCUSDT,DMC,USDT,-0.019,1207459.01376881,563058751.0,0.004,https://www.binance.com/en/futures/DMCUSDT
binance_futures,Binance (Futures),DODOXUSDT,DODOX,USDT,-0.013,1068494.09810963,27033726.0,0.044,https://www.binance.com/en/futures/DODOXUSDT
binance_futures,Binance (Futures),DOGEUSD_PERP,DOGE,USD,0.01,121773970.0,639527363.161482,0.209,https://www.binance.com/en/futures/DOGEUSD_PERP
binance_futures,Binance (Futures),DOGEUSDC,DOGE,USDC,0.01,20486464.27116909,1091697471.0,0.21,https://www.binance.com/en/futures/DOGEUSDC
